model,release_price
아디다스 x 송 포 더 뮤트 컨트리 OG 그레이 투 코어 블랙,179000
나이키 줌 보메로 5 SE 라이트 오어우드 브라운,209000
살로몬 XT-4 블랙 실버 메탈릭,302400
뉴발란스 2002R 프리미엄 빈티지 블랙,189000
아디다스 이지 부스트 350 V2 오닉스,319000
메종 미하라 야스히로 피터슨 OG 솔 캔버스 로우탑 스니커즈 내츄럴,288500
아식스 젤 벤쳐 6 SPS 글레이셔 그레이,89000
조던 1 로우 골프 울프 그레이,179000
나이키 코르테즈 화이트 블랙,123700
나이키 줌X 베이퍼플라이 넥스트% 3 하이퍼 핑크,411800
컨버스 x 스투시 척 70 하이 플루메리아,129000
에르메스 바운싱 스니커즈 카프스킨 스웨이드 고트스킨 & 블랑,0
아디다스 이지 슬라이드 퓨어 - 재발매 버전,99000
(W) 에르메스 아일랜드 샌들 & 누아,550000
살로몬 x 꼼데가르송 슬립 온 플랫폼 블랙,494900
아디다스 SL 72 RS 블루 코어 화이트,159600
메종 미하라 야스히로 피터슨23 OG 솔 캔버스 로우탑 스니커즈 블랙,307700
나이키 에어 줌 페가수스 40 엘리우드 킵초게,149000
아식스 조그 100 S 화이트 그린 - 2E 와이드,69000
뉴발란스 1906R 실버 그린,169000
나이키 x 스투시 에어맥스 2013 파슬,249000
아디다스 이지 부스트 350 V2 지브라 2017/2019/2020,289000
온 러닝 x 포스트 아카이브 팩션 (파프) 클라우드몬스터 2 문더스트 초크,279000
(W) 호카 호파라 2 쉬프팅 샌드,179000
(W) 나이키 P-6000 코코넛 밀크 메탈릭 실버,151200
나이키 줌X 스트릭플라이 화이트 클리어 제이드,189000
아식스 x 언어펙티드 젤 카야노 14 갤럭시 화이트,229000
