model,total
나이키 줌X 베이퍼플라이 넥스트% 3 하이퍼 핑크,2621
컨버스 x 스투시 척 70 하이 플루메리아,2464
에르메스 바운싱 스니커즈 카프스킨 스웨이드 고트스킨 & 블랑,24
아디다스 이지 슬라이드 퓨어 - 재발매 버전,91
(W) 에르메스 아일랜드 샌들 & 누아,0
살로몬 x 꼼데가르송 슬립 온 플랫폼 블랙,557
아디다스 SL 72 RS 블루 코어 화이트,15
메종 미하라 야스히로 피터슨23 OG 솔 캔버스 로우탑 스니커즈 블랙,617
나이키 에어 줌 페가수스 40 엘리우드 킵초게,818
아식스 조그 100 S 화이트 그린 - 2E 와이드,4613
뉴발란스 1906R 실버 그린,120
나이키 x 스투시 에어맥스 2013 파슬,267
아디다스 이지 부스트 350 V2 지브라 2017/2019/2020,3089
온 러닝 x 포스트 아카이브 팩션 (파프) 클라우드몬스터 2 문더스트 초크,54
(W) 호카 호파라 2 쉬프팅 샌드,34
(W) 나이키 P-6000 코코넛 밀크 메탈릭 실버,121
나이키 줌X 스트릭플라이 화이트 클리어 제이드,1516
아식스 x 언어펙티드 젤 카야노 14 갤럭시 화이트,3661
